RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-509.487	1745.944	60.658	-510.632	1871.436	55.613
-508.532	1744.789	59.649	-510.646	1871.443	55.602
-506.207	1745.670	57.918	-510.652	1871.454	55.617
-508.661	1744.968	59.454	-510.651	1871.451	55.592
-508.758	1744.982	59.411	-510.683	1871.458	55.579
-508.590	1745.177	59.169	-510.717	1871.480	55.553
-508.458	1744.913	58.112	-511.184	1872.055	54.507
-507.800	1745.153	57.925	-510.786	1871.722	55.243
-507.624	1745.563	58.416	-510.809	1871.698	55.192
-507.627	1745.527	58.413	-510.827	1871.702	55.214
-507.652	1745.514	58.388	-510.831	1871.674	55.174
-507.674	1745.496	58.390	-510.849	1871.674	55.164
-507.677	1745.481	58.374	-510.860	1871.673	55.147
-507.694	1745.487	58.365	-510.856	1871.659	55.150
-507.699	1745.467	58.355	-510.879	1871.655	55.146
-508.262	1744.941	58.771	-510.912	1871.676	55.130
-508.298	1744.884	58.791	-510.877	1871.677	55.118
-508.380	1744.739	58.883	-510.893	1871.683	55.153
-508.435	1744.613	58.957	-510.873	1871.712	55.158
-508.473	1744.524	59.033	-510.863	1871.731	55.195
-508.465	1744.423	59.067	-510.853	1871.749	55.239
-508.393	1744.390	59.105	-510.827	1871.741	55.261
-508.354	1744.281	59.169	-510.814	1871.739	55.334
-508.219	1744.276	59.151	-510.773	1871.748	55.403
-508.153	1744.215	59.219	-510.724	1871.742	55.476
-508.036	1744.216	59.220	-510.690	1871.762	55.571
-507.952	1744.181	59.236	-510.637	1871.792	55.646
-507.841	1744.166	59.258	-510.583	1871.824	55.758
-507.791	1744.161	59.319	-510.538	1871.849	55.843
-507.702	1744.134	59.322	-510.459	1871.903	55.977
-507.664	1744.105	59.387	-510.440	1871.985	56.200
-507.626	1744.106	59.430	-510.382	1872.070	56.413
-507.606	1744.075	59.467	-510.339	1872.132	56.570
-507.581	1744.077	59.527	-510.310	1872.248	56.836
-507.552	1744.047	59.581	-510.235	1872.310	56.974
-507.519	1744.031	59.590	-510.194	1872.379	57.091
-507.523	1744.032	59.616	-510.134	1872.429	57.198
-507.500	1744.007	59.664	-510.075	1872.454	57.299
-507.493	1744.020	59.674	-510.028	1872.491	57.355
-507.460	1744.001	59.662	-509.946	1872.534	57.476
-507.457	1743.996	59.699	-509.915	1872.576	57.556
-507.444	1743.996	59.725	-509.869	1872.617	57.641
-507.422	1743.984	59.755	-509.854	1872.657	57.708
-507.434	1743.997	59.765	-509.778	1872.718	57.782
-507.397	1743.954	59.773	-509.747	1872.758	57.871
-507.386	1743.960	59.812	-509.709	1872.844	58.006
-507.377	1743.963	59.862	-509.670	1872.929	58.065
-507.357	1743.961	59.879	-509.622	1873.004	58.155
-507.327	1743.953	59.914	-509.538	1873.106	58.283
-507.287	1743.939	59.953	-509.502	1873.153	58.361
-507.263	1743.939	59.998	-509.467	1873.260	58.458
-507.223	1743.937	60.059	-509.383	1873.321	58.533
-507.188	1743.916	60.115	-509.366	1873.453	58.712
-507.149	1743.908	60.167	-509.316	1873.569	58.901
-507.114	1743.918	60.309	-509.323	1873.696	59.066
-507.037	1743.908	60.395	-509.264	1873.796	59.185
-507.012	1743.891	60.533	-509.205	1873.900	59.313
-506.916	1743.884	60.674	-509.174	1873.989	59.401
-506.872	1743.871	60.787	-509.152	1874.058	59.480
-506.810	1743.881	61.031	-509.146	1874.179	59.640
-506.731	1743.849	61.218	-509.107	1874.190	59.581
-506.673	1743.862	61.579	-509.107	1874.255	59.643
-506.545	1743.762	61.797	-509.128	1874.305	59.651
-506.437	1743.641	62.061	-509.118	1874.349	59.615
-506.337	1743.467	62.300	-509.160	1874.414	59.594
-506.196	1743.298	62.535	-509.212	1874.439	59.551
-506.125	1743.107	62.756	-509.232	1874.498	59.486
-506.028	1742.936	62.979	-509.257	1874.534	59.445
-505.932	1742.773	63.192	-509.271	1874.561	59.370
-505.867	1742.649	63.360	-509.296	1874.528	59.228
-505.801	1742.499	63.508	-509.317	1874.524	59.171
-505.752	1742.411	63.610	-509.330	1874.491	59.112
-505.715	1742.345	63.686	-509.340	1874.460	59.052
-505.725	1742.327	63.692	-509.378	1874.416	58.992
-505.757	1742.348	63.665	-509.381	1874.378	58.928
-505.776	1742.382	63.626	-509.359	1874.368	58.928
-505.826	1742.444	63.549	-509.389	1874.380	58.896
-505.914	1742.555	63.409	-509.375	1874.392	58.916
-505.971	1742.649	63.303	-509.391	1874.422	58.923
-506.048	1742.725	63.150	-509.389	1874.464	58.977
-506.099	1742.855	63.041	-509.385	1874.524	58.986
-506.142	1742.913	62.871	-509.380	1874.586	59.073
-506.178	1742.956	62.799	-509.415	1874.696	59.223
-506.204	1743.027	62.721	-509.333	1874.718	59.158
-506.204	1743.086	62.734	-509.374	1874.805	59.271
-506.193	1743.108	62.706	-509.380	1874.861	59.360
-506.175	1743.135	62.723	-509.321	1874.903	59.352
-506.151	1743.149	62.740	-509.307	1874.953	59.406
