RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-716.893	1709.384	65.632	-735.930	1959.502	72.914
-716.873	1709.366	65.644	-735.923	1959.511	72.938
-716.868	1709.402	65.667	-735.913	1959.495	72.960
-716.889	1709.413	65.682	-735.912	1959.509	72.989
-716.871	1709.416	65.674	-735.913	1959.500	72.947
-716.852	1709.414	65.691	-735.927	1959.494	72.978
-716.683	1708.002	65.893	-735.154	1959.518	72.828
-716.859	1709.234	65.905	-735.819	1959.796	72.776
-716.844	1709.262	65.917	-735.840	1959.770	72.800
-716.845	1709.240	65.972	-735.860	1959.733	72.822
-716.854	1709.292	66.027	-735.904	1959.722	72.836
-716.844	1709.284	66.062	-735.882	1959.752	72.847
-716.855	1709.326	66.100	-735.898	1959.753	72.854
-716.823	1709.335	66.102	-735.916	1959.782	72.910
-716.844	1709.343	66.133	-735.933	1959.773	72.869
-716.854	1709.395	66.135	-735.942	1959.777	72.877
-716.846	1709.394	66.164	-735.933	1959.763	72.886
-716.846	1709.419	66.193	-735.943	1959.767	72.879
-716.830	1709.420	66.213	-735.966	1959.768	72.897
-716.819	1709.407	66.232	-735.970	1959.796	72.992
-716.846	1709.452	66.242	-735.967	1959.774	72.964
-716.832	1709.462	66.244	-735.949	1959.782	72.972
-716.842	1709.480	66.258	-735.975	1959.790	72.982
-716.840	1709.505	66.254	-735.967	1959.796	73.002
-716.832	1709.513	66.284	-735.976	1959.799	73.017
-716.843	1709.513	66.295	-735.991	1959.803	73.043
-716.819	1709.492	66.312	-735.957	1959.800	73.053
-716.812	1709.515	66.304	-735.993	1959.803	72.997
-716.809	1709.504	66.321	-735.983	1959.812	73.032
-716.821	1709.503	66.318	-735.968	1959.792	73.004
-716.807	1709.535	66.313	-735.975	1959.821	73.043
-716.804	1709.515	66.337	-735.973	1959.821	73.059
-716.796	1709.520	66.350	-735.949	1959.817	73.097
-716.814	1709.529	66.352	-735.980	1959.814	73.073
-716.801	1709.535	66.360	-735.986	1959.822	73.096
-716.808	1709.544	66.364	-735.952	1959.836	73.146
-716.818	1709.520	66.359	-735.979	1959.838	73.123
-716.788	1709.547	66.339	-735.960	1959.838	73.102
-716.791	1709.526	66.338	-735.971	1959.847	73.098
-716.786	1709.561	66.352	-735.958	1959.840	73.135
-716.805	1709.560	66.357	-735.948	1959.846	73.122
-716.791	1709.551	66.365	-735.949	1959.833	73.131
-716.804	1709.562	66.374	-735.958	1959.825	73.134
-716.805	1709.553	66.360	-735.947	1959.855	73.159
-716.841	1709.551	66.362	-735.967	1959.848	73.133
-716.835	1709.549	66.359	-735.944	1959.835	73.146
-716.809	1709.554	66.334	-735.947	1959.801	73.114
-716.800	1709.559	66.329	-735.968	1959.835	73.146
-716.819	1709.526	66.335	-735.962	1959.826	73.137
-716.806	1709.535	66.331	-735.953	1959.823	73.147
-716.850	1709.522	66.323	-735.954	1959.836	73.135
-716.834	1709.521	66.319	-735.968	1959.827	73.120
-716.844	1709.536	66.275	-735.971	1959.825	73.148
-716.851	1709.498	66.264	-735.978	1959.835	73.090
-716.849	1709.512	66.245	-735.982	1959.847	73.106
-716.858	1709.514	66.236	-735.967	1959.845	73.125
-716.891	1709.503	66.247	-735.976	1959.831	73.093
-716.890	1709.519	66.242	-735.963	1959.845	73.057
-716.903	1709.494	66.183	-735.975	1959.840	73.088
-716.884	1709.468	66.193	-736.010	1959.834	73.033
-716.919	1709.502	66.146	-735.987	1959.834	73.031
-716.895	1709.456	66.163	-736.014	1959.852	73.035
-716.922	1709.467	66.115	-736.028	1959.865	73.028
-716.923	1709.450	66.135	-735.996	1959.862	72.997
-716.935	1709.459	66.138	-736.018	1959.871	73.004
-716.938	1709.409	66.130	-736.022	1959.860	73.003
