RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-672.342	1715.925	24.302	-685.928	1805.674	26.317
-672.339	1715.933	24.302	-685.953	1805.681	26.328
-672.348	1715.902	24.298	-685.930	1805.665	26.301
-672.335	1715.920	24.262	-685.634	1806.253	25.780
-672.335	1715.931	24.248	-685.605	1806.281	25.769
-672.347	1715.931	24.291	-685.932	1805.455	25.860
-671.911	1715.773	24.110	-685.063	1807.274	24.480
-672.385	1715.694	24.579	-685.564	1806.525	25.373
-672.460	1715.688	24.594	-685.607	1806.532	25.408
-672.474	1715.744	24.598	-685.612	1806.570	25.403
-672.535	1715.761	24.618	-685.639	1806.603	25.414
-672.541	1715.771	24.616	-685.662	1806.603	25.473
-672.535	1715.768	24.603	-685.678	1806.591	25.448
-672.574	1715.794	24.578	-685.670	1806.599	25.431
-672.562	1715.806	24.564	-685.675	1806.608	25.415
-672.608	1715.810	24.603	-685.678	1806.636	25.456
-672.624	1715.810	24.608	-685.703	1806.641	25.449
-672.616	1715.824	24.577	-685.709	1806.627	25.454
-672.623	1715.820	24.581	-685.714	1806.624	25.440
-672.619	1715.826	24.596	-685.730	1806.611	25.446
-672.626	1715.844	24.631	-685.707	1806.627	25.446
-672.632	1715.843	24.629	-685.707	1806.622	25.481
-672.644	1715.857	24.663	-685.721	1806.632	25.504
-672.629	1715.858	24.631	-685.691	1806.638	25.499
-672.637	1715.878	24.621	-685.713	1806.629	25.497
-672.650	1715.833	24.614	-685.733	1806.602	25.456
-672.664	1715.827	24.640	-685.742	1806.607	25.510
-672.684	1715.833	24.653	-685.728	1806.597	25.508
-672.667	1715.818	24.661	-685.733	1806.579	25.538
-672.675	1715.801	24.690	-685.734	1806.555	25.530
-672.689	1715.791	24.676	-685.714	1806.540	25.556
-672.656	1715.786	24.690	-685.695	1806.552	25.547
-672.656	1715.791	24.763	-685.714	1806.547	25.577
-672.695	1715.785	24.773	-685.696	1806.523	25.590
-672.698	1715.762	24.772	-685.710	1806.509	25.541
