RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-189.705	1630.779	69.227	-185.621	1950.067	69.411
-190.250	1629.451	69.612	-185.554	1950.072	69.551
-190.258	1629.489	69.693	-185.586	1950.055	69.536
-189.743	1630.814	69.299	-185.445	1950.614	69.177
-189.728	1630.817	69.305	-185.202	1951.520	68.608
-189.720	1630.822	69.301	-184.927	1952.547	67.960
-188.605	1632.498	67.804	-184.690	1953.466	67.369
-190.056	1632.043	68.368	-184.560	1954.050	66.966
-189.530	1631.477	68.934	-184.608	1954.073	66.886
-189.539	1631.514	69.033	-184.647	1954.070	66.909
-189.559	1631.525	69.075	-184.655	1954.076	66.916
-189.569	1631.543	69.124	-184.672	1954.065	66.907
-189.596	1631.528	69.154	-184.693	1954.077	66.953
-189.589	1631.531	69.129	-184.689	1954.036	66.926
-189.597	1631.523	69.153	-184.716	1954.062	66.979
-189.613	1631.550	69.189	-184.732	1954.072	66.993
-189.603	1631.547	69.180	-184.733	1954.055	66.994
-189.601	1631.593	69.200	-184.741	1954.064	67.009
-189.610	1631.581	69.198	-184.729	1954.052	67.004
-189.631	1631.587	69.250	-184.725	1954.045	67.032
-189.614	1631.592	69.214	-184.760	1954.034	67.010
-189.650	1631.616	69.245	-184.739	1954.013	67.014
-189.613	1631.634	69.290	-184.749	1954.031	67.071
-189.594	1631.648	69.326	-184.739	1954.009	67.073
-189.578	1631.677	69.364	-184.726	1954.012	67.113
-189.575	1631.700	69.408	-184.706	1953.991	67.114
-189.570	1631.719	69.443	-184.703	1954.000	67.160
-189.542	1631.734	69.474	-184.722	1953.990	67.153
-189.505	1631.766	69.539	-184.698	1953.974	67.228
-189.488	1631.794	69.599	-184.675	1953.968	67.270
-189.468	1631.824	69.678	-184.661	1953.966	67.325
-189.420	1631.845	69.734	-184.648	1953.943	67.341
-189.399	1631.875	69.818	-184.624	1953.910	67.375
-189.366	1631.908	69.887	-184.632	1953.896	67.436
-189.300	1631.974	69.955	-184.579	1953.902	67.480
-189.275	1631.993	70.075	-184.562	1953.879	67.539
-189.248	1632.050	70.142	-184.537	1953.832	67.621
-189.245	1632.128	70.371	-184.512	1953.834	67.702
-189.231	1632.152	70.449	-184.492	1953.804	67.741
-189.169	1632.191	70.538	-184.460	1953.779	67.770
-189.142	1632.218	70.624	-184.455	1953.741	67.870
-189.119	1632.257	70.743	-184.425	1953.725	67.951
-189.085	1632.277	70.824	-184.358	1953.695	68.027
-189.070	1632.307	70.908	-184.376	1953.671	68.031
-189.055	1632.332	70.983	-184.354	1953.623	68.103
-189.001	1632.358	71.077	-184.301	1953.613	68.162
-188.919	1632.421	71.175	-184.308	1953.584	68.224
-188.911	1632.471	71.301	-184.259	1953.565	68.245
-188.870	1632.523	71.420	-184.233	1953.543	68.342
-188.829	1632.599	71.590	-184.208	1953.526	68.422
-188.760	1632.622	71.672	-184.187	1953.519	68.480
-188.715	1632.674	71.767	-184.139	1953.493	68.526
-188.662	1632.692	71.810	-184.110	1953.478	68.633
-188.588	1632.736	71.936	-184.063	1953.471	68.705
-188.536	1632.764	72.016	-184.034	1953.471	68.789
-188.485	1632.769	72.089	-184.000	1953.452	68.856
-188.447	1632.795	72.137	-183.966	1953.446	68.932
-188.420	1632.827	72.232	-183.915	1953.423	68.974
-188.385	1632.822	72.304	-183.880	1953.419	69.088
-188.321	1632.826	72.358	-183.905	1953.481	69.346
-188.300	1632.837	72.423	-183.874	1953.462	69.393
-188.296	1632.842	72.490	-183.835	1953.433	69.439
-188.243	1632.845	72.556	-183.815	1953.435	69.490
-188.240	1632.846	72.575	-183.785	1953.401	69.544
-188.209	1632.854	72.641	-183.741	1953.386	69.578
-188.178	1632.863	72.626	-183.658	1953.361	69.620
-188.173	1632.870	72.681	-183.617	1953.329	69.662
-188.201	1632.856	72.702	-183.647	1953.315	69.761
-188.175	1632.841	72.713	-183.568	1953.274	69.763
-188.162	1632.839	72.713	-183.557	1953.279	69.833
-188.172	1632.819	72.715	-183.587	1953.338	70.064
-188.215	1632.812	72.698	-183.549	1953.355	70.109
-188.212	1632.772	72.626	-183.541	1953.336	70.132
-188.227	1632.761	72.593	-183.538	1953.346	70.167
-188.251	1632.742	72.556	-183.476	1953.294	70.134
-188.290	1632.716	72.485	-183.508	1953.325	70.191
-188.330	1632.664	72.422	-183.523	1953.307	70.195
-188.404	1632.649	72.346	-183.505	1953.298	70.165
-188.423	1632.608	72.279	-183.539	1953.293	70.178
-188.476	1632.570	72.204	-183.521	1953.283	70.188
-188.537	1632.522	72.132	-183.492	1953.260	70.112
-188.608	1632.501	72.022	-183.515	1953.290	70.103
-188.649	1632.442	71.935	-183.534	1953.210	69.879
-188.720	1632.400	71.856	-183.544	1953.224	69.840
-188.801	1632.385	71.745	-183.616	1953.249	69.819
-188.888	1632.350	71.644	-183.630	1953.291	69.754
-188.937	1632.248	71.404	-183.680	1953.324	69.665
-188.956	1632.194	71.275	-183.740	1953.379	69.584
-189.037	1632.144	71.127	-183.809	1953.425	69.500
-189.103	1632.115	70.988	-183.853	1953.451	69.409
-189.148	1632.074	70.833	-183.919	1953.488	69.312
-189.188	1632.035	70.687	-183.962	1953.422	68.954
-189.230	1632.004	70.540	-184.057	1953.445	68.795
-189.279	1631.952	70.338	-184.157	1953.479	68.632
-189.315	1631.896	70.185	-184.239	1953.503	68.482
-189.364	1631.875	70.044	-184.307	1953.577	68.291
-189.425	1631.823	69.945	-184.394	1953.643	68.138
-189.487	1631.766	69.818	-184.439	1953.720	67.950
-189.573	1631.701	69.702	-184.515	1953.781	67.823
-189.621	1631.635	69.586	-184.627	1953.829	67.647
-189.658	1631.579	69.479	-184.693	1953.902	67.465
-189.708	1631.527	69.400	-184.768	1953.985	67.338
-189.759	1631.482	69.310	-184.848	1954.013	67.180
-189.780	1631.437	69.195	-184.912	1954.082	67.095
-189.828	1631.365	69.079	-184.996	1954.095	67.008
-189.847	1631.315	69.009	-185.021	1954.099	66.945
-189.910	1631.235	68.902	-185.056	1954.105	66.886
-189.941	1631.163	68.799	-185.109	1954.088	66.869
-190.004	1631.101	68.683	-185.141	1954.082	66.810
-190.072	1631.007	68.592	-185.186	1954.073	66.775
-190.115	1630.916	68.484	-185.209	1954.050	66.706
-190.210	1630.820	68.411	-185.271	1954.007	66.652
-190.236	1630.721	68.311	-185.320	1954.010	66.656
-190.296	1630.624	68.231	-185.394	1953.947	66.611
-190.356	1630.522	68.113	-185.434	1953.888	66.562
-190.409	1630.435	68.017	-185.521	1953.831	66.520
-190.507	1630.329	67.899	-185.571	1953.835	66.501
-190.519	1630.236	67.785	-185.603	1953.815	66.455
-190.566	1630.134	67.673	-185.640	1953.808	66.387
-190.592	1630.048	67.606	-185.719	1953.793	66.345
-190.678	1629.990	67.526	-185.767	1953.821	66.295
-190.722	1629.933	67.471	-185.837	1953.830	66.176
-190.765	1629.880	67.451	-185.947	1953.853	66.100
-190.825	1629.856	67.403	-186.055	1953.854	65.854
-190.859	1629.834	67.354	-186.158	1953.863	65.779
-190.874	1629.821	67.341	-186.278	1953.917	65.766
-190.907	1629.789	67.326	-186.330	1953.960	65.722
-190.867	1629.794	67.365	-186.336	1953.994	65.685
-190.829	1629.832	67.384	-186.324	1954.006	65.752
-190.823	1629.858	67.436	-186.218	1954.020	65.758
-190.792	1629.894	67.489	-186.080	1954.026	65.838
-190.735	1629.939	67.514	-186.009	1954.132	66.061
-190.690	1630.015	67.572	-185.959	1954.157	66.141
-190.613	1630.076	67.612	-185.849	1954.209	66.148
-190.579	1630.150	67.655	-185.804	1954.261	66.237
-190.536	1630.269	67.830	-185.783	1954.325	66.278
-190.467	1630.377	67.924	-185.675	1954.399	66.270
-190.435	1630.461	68.018	-185.706	1954.467	66.297
-190.421	1630.558	68.126	-185.649	1954.556	66.282
-190.393	1630.666	68.229	-185.635	1954.631	66.307
-190.339	1630.758	68.350	-185.652	1954.711	66.319
-190.275	1630.878	68.433	-185.634	1954.791	66.283
-190.203	1631.027	68.581	-185.575	1954.846	66.265
-190.127	1631.220	68.829	-185.577	1954.857	66.261
-189.971	1631.426	69.065	-185.559	1954.906	66.247
-189.826	1631.711	69.508	-185.553	1954.955	66.256
-189.603	1632.094	69.969	-185.531	1954.974	66.218
-189.331	1632.707	70.892	-185.515	1955.012	66.221
-188.767	1633.703	71.963	-185.504	1955.064	66.218
-188.240	1635.342	73.764	-185.399	1955.187	66.214
-187.402	1637.497	76.242	-185.238	1955.251	66.113
-186.252	1640.500	78.853	-185.518	1955.172	66.662
-185.105	1644.130	82.190	-185.642	1955.113	66.731
-183.710	1648.343	85.896	-185.446	1955.205	66.578
-182.007	1652.947	90.110	-185.261	1955.324	66.480
-179.909	1657.942	94.426	-185.185	1955.382	66.465
-177.497	1663.402	98.823	-185.190	1955.409	66.541
-174.561	1668.923	102.865	-185.174	1955.456	66.579
-170.766	1674.270	106.152	-185.134	1955.475	66.643
-166.326	1679.157	109.071	-185.128	1955.526	66.746
-160.694	1683.364	111.068	-185.112	1955.556	66.811
-154.312	1687.113	112.510	-185.101	1955.627	66.888
-146.766	1690.384	113.114	-185.058	1955.690	66.933
-138.064	1693.048	112.652	-185.056	1955.749	66.975
-128.030	1695.279	111.363	-185.093	1955.795	66.956
-117.140	1697.114	109.717	-185.129	1955.850	66.946
-104.820	1698.470	107.264	-185.143	1955.834	66.936
-91.640	1699.596	104.175	-185.146	1955.821	66.873
-77.401	1700.438	100.707	-185.119	1955.746	66.630
-62.407	1701.281	96.942	-185.116	1955.753	66.521
-46.190	1703.335	92.578	-185.156	1955.757	66.497
-29.588	1704.195	88.737	-185.163	1955.745	66.490
-12.322	1705.258	84.839	-185.188	1955.739	66.437
5.502	1706.324	81.084	-185.186	1955.726	66.417
23.726	1707.503	77.519	-185.216	1955.711	66.397
42.011	1708.911	74.631	-185.207	1955.722	66.405
60.804	1710.434	71.806	-185.199	1955.718	66.358
79.390	1712.103	69.758	-185.211	1955.695	66.385
98.105	1713.802	68.032	-185.188	1955.661	66.405
116.489	1715.540	66.956	-185.143	1955.625	66.469
134.262	1716.000	66.766	-185.135	1955.606	66.561
152.017	1717.711	66.367	-185.074	1955.542	66.642
169.422	1719.565	66.569	-185.015	1955.482	66.713
186.430	1721.377	66.713	-184.955	1955.398	66.842
202.816	1723.318	67.140	-184.916	1955.319	66.971
218.712	1725.283	67.848	-184.856	1955.247	67.141
