RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-727.689	1725.369	70.880	-715.348	1853.864	65.747
-727.697	1725.368	70.889	-715.356	1853.897	65.754
-727.694	1725.401	70.900	-715.343	1853.907	65.773
-727.691	1725.387	70.872	-715.358	1853.908	65.766
-727.694	1725.397	70.890	-715.351	1853.913	65.745
-727.697	1725.406	70.868	-715.325	1853.933	65.747
-727.512	1724.951	70.027	-715.366	1853.975	65.545
-727.566	1725.429	70.766	-715.432	1853.960	65.553
-727.601	1725.397	70.743	-715.462	1853.961	65.556
-727.618	1725.395	70.779	-715.501	1853.934	65.565
-727.631	1725.380	70.784	-715.511	1853.923	65.566
-727.650	1725.378	70.762	-715.544	1853.907	65.552
-727.654	1725.384	70.795	-715.549	1853.885	65.554
-727.648	1725.372	70.767	-715.550	1853.882	65.564
-727.645	1725.379	70.799	-715.546	1853.887	65.562
-727.658	1725.380	70.812	-715.561	1853.884	65.563
-727.663	1725.363	70.803	-715.573	1853.911	65.587
-727.638	1725.378	70.822	-715.578	1853.911	65.590
-727.657	1725.412	70.859	-715.578	1853.884	65.566
-727.673	1725.403	70.831	-715.581	1853.908	65.595
-727.688	1725.419	70.851	-715.591	1853.895	65.581
-727.705	1725.398	70.822	-715.586	1853.899	65.565
-727.705	1725.413	70.813	-715.614	1853.894	65.543
-727.694	1725.433	70.825	-715.612	1853.902	65.554
-727.708	1725.419	70.820	-715.608	1853.891	65.525
-727.709	1725.423	70.797	-715.620	1853.904	65.540
-727.728	1725.440	70.809	-715.643	1853.926	65.574
-727.704	1725.476	70.858	-715.626	1853.949	65.553
-727.726	1725.477	70.827	-715.609	1853.954	65.546
-727.729	1725.494	70.857	-715.626	1853.978	65.558
-727.730	1725.509	70.849	-715.630	1853.966	65.527
-727.721	1725.505	70.808	-715.610	1853.968	65.536
-727.738	1725.530	70.844	-715.618	1853.997	65.547
-727.735	1725.489	70.824	-715.618	1853.967	65.520
-727.736	1725.473	70.835	-715.619	1853.953	65.523
-727.739	1725.468	70.844	-715.630	1853.948	65.518
-727.749	1725.483	70.826	-715.641	1853.958	65.565
-727.731	1725.469	70.829	-715.661	1853.954	65.560
-727.761	1725.481	70.852	-715.626	1853.972	65.540
-727.742	1725.485	70.860	-715.636	1853.956	65.546
-727.745	1725.496	70.862	-715.637	1853.951	65.572
-727.751	1725.484	70.877	-715.637	1853.949	65.575
-727.756	1725.478	70.859	-715.645	1853.969	65.579
-727.763	1725.492	70.870	-715.652	1853.940	65.540
-727.794	1725.483	70.845	-715.651	1853.929	65.522
-727.768	1725.465	70.823	-715.656	1853.938	65.543
-727.773	1725.473	70.834	-715.659	1853.930	65.537
-727.773	1725.479	70.821	-715.650	1853.940	65.520
-727.787	1725.504	70.823	-715.652	1853.963	65.567
-727.767	1725.539	70.867	-715.693	1853.974	65.530
-727.781	1725.514	70.857	-715.669	1853.985	65.558
-727.768	1725.537	70.837	-715.669	1853.979	65.522
-727.788	1725.520	70.833	-715.651	1853.983	65.545
-727.773	1725.507	70.821	-715.664	1854.005	65.558
