RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
-536.889	1674.525	54.803	-537.877	1877.808	60.634
-536.916	1674.550	54.829	-537.881	1877.800	60.621
-536.891	1674.533	54.823	-537.888	1877.809	60.633
-536.901	1674.542	54.820	-537.873	1877.808	60.620
-536.902	1674.542	54.821	-537.887	1877.812	60.644
-536.905	1674.532	54.815	-537.895	1877.807	60.626
-537.056	1672.373	55.710	-537.067	1877.936	60.342
-537.127	1674.177	55.247	-537.746	1878.189	60.220
-537.206	1674.178	55.260	-537.825	1878.161	60.234
-537.273	1674.209	55.251	-537.885	1878.191	60.206
-537.291	1674.226	55.247	-537.890	1878.212	60.196
-537.303	1674.228	55.274	-537.910	1878.223	60.182
-537.328	1674.260	55.283	-537.930	1878.249	60.195
-537.343	1674.265	55.299	-537.953	1878.245	60.169
-537.376	1674.272	55.289	-537.961	1878.250	60.180
-537.378	1674.288	55.303	-537.953	1878.266	60.164
-537.364	1674.295	55.242	-537.992	1878.268	60.199
-537.364	1674.292	55.315	-537.972	1878.290	60.154
-537.391	1674.295	55.305	-537.973	1878.260	60.183
-537.369	1674.298	55.308	-537.986	1878.264	60.185
-537.379	1674.303	55.311	-537.982	1878.264	60.145
-537.387	1674.324	55.255	-537.976	1878.261	60.133
-537.391	1674.320	55.277	-537.973	1878.264	60.148
-537.382	1674.326	55.310	-537.979	1878.301	60.141
-537.404	1674.313	55.300	-537.986	1878.274	60.168
-537.378	1674.330	55.314	-537.978	1878.289	60.148
-537.399	1674.329	55.299	-537.981	1878.287	60.157
-537.391	1674.334	55.321	-537.986	1878.295	60.174
-537.368	1674.325	55.305	-537.978	1878.288	60.135
-537.387	1674.330	55.315	-537.989	1878.299	60.153
-537.389	1674.317	55.328	-537.965	1878.285	60.134
-537.400	1674.357	55.311	-537.989	1878.301	60.150
-537.425	1674.320	55.320	-537.989	1878.294	60.145
-537.392	1674.336	55.323	-537.992	1878.294	60.145
-537.402	1674.341	55.286	-538.034	1878.298	60.143
-537.388	1674.327	55.314	-537.997	1878.291	60.145
-537.398	1674.351	55.321	-537.996	1878.288	60.144
-537.398	1674.324	55.311	-537.989	1878.282	60.100
-537.434	1674.357	55.319	-537.992	1878.285	60.134
-537.405	1674.320	55.344	-537.972	1878.290	60.178
-537.416	1674.343	55.330	-538.004	1878.288	60.147
-537.447	1674.329	55.285	-537.991	1878.289	60.179
-537.431	1674.346	55.315	-538.027	1878.274	60.167
-537.432	1674.365	55.303	-538.014	1878.277	60.141
-537.446	1674.337	55.316	-538.016	1878.287	60.175
-537.443	1674.359	55.341	-538.014	1878.295	60.180
-537.414	1674.348	55.319	-538.026	1878.282	60.133
-537.416	1674.358	55.324	-538.019	1878.286	60.115
-537.433	1674.376	55.328	-538.011	1878.315	60.184
-537.422	1674.352	55.300	-538.009	1878.288	60.138
-537.442	1674.346	55.315	-538.029	1878.300	60.151
-537.405	1674.355	55.281	-537.991	1878.300	60.131
-537.422	1674.363	55.321	-538.015	1878.299	60.137
-537.409	1674.342	55.267	-538.051	1878.301	60.148
-537.453	1674.363	55.343	-538.064	1878.297	60.125
-537.436	1674.347	55.257	-538.027	1878.306	60.169
-537.462	1674.363	55.308	-538.024	1878.314	60.122
-537.433	1674.357	55.288	-538.027	1878.297	60.140
-537.461	1674.363	55.333	-538.042	1878.296	60.180
-537.474	1674.361	55.305	-538.064	1878.285	60.146
-537.445	1674.362	55.292	-538.051	1878.301	60.151
-537.464	1674.373	55.321	-538.049	1878.291	60.127
-537.469	1674.377	55.299	-538.006	1878.284	60.127
-537.459	1674.377	55.297	-538.030	1878.299	60.145
-537.468	1674.351	55.333	-538.036	1878.287	60.150
-537.474	1674.352	55.319	-538.041	1878.316	60.135
-537.436	1674.373	55.352	-538.009	1878.318	60.126
-537.462	1674.372	55.291	-538.045	1878.324	60.175
-537.460	1674.371	55.317	-538.039	1878.320	60.167
-537.446	1674.356	55.279	-538.034	1878.321	60.150
-537.429	1674.370	55.271	-538.035	1878.317	60.131
-537.461	1674.367	55.271	-538.015	1878.334	60.162
-537.449	1674.389	55.328	-538.033	1878.324	60.165
-537.499	1674.353	55.301	-538.046	1878.316	60.145
-537.479	1674.376	55.302	-538.038	1878.322	60.131
-537.484	1674.372	55.307	-538.042	1878.309	60.117
-537.453	1674.387	55.246	-538.039	1878.318	60.149
-537.476	1674.381	55.314	-538.014	1878.328	60.149
-537.490	1674.378	55.311	-538.048	1878.314	60.163
-537.475	1674.385	55.347	-538.010	1878.310	60.136
-537.489	1674.365	55.332	-538.037	1878.296	60.117
-537.469	1674.378	55.318	-538.045	1878.298	60.145
-537.447	1674.393	55.323	-538.045	1878.317	60.170
-537.449	1674.382	55.300	-538.046	1878.312	60.164
-537.476	1674.362	55.323	-538.008	1878.308	60.123
-537.481	1674.381	55.299	-538.039	1878.319	60.121
-537.491	1674.374	55.311	-538.085	1878.312	60.087
-537.516	1674.382	55.316	-538.044	1878.319	60.120
-537.495	1674.381	55.343	-538.049	1878.329	60.097
-537.483	1674.374	55.284	-538.077	1878.335	60.100
-537.492	1674.379	55.300	-538.063	1878.332	60.104
-537.528	1674.365	55.287	-538.094	1878.341	60.038
-537.509	1674.352	55.233	-538.126	1878.354	59.999
-537.517	1674.376	55.202	-538.197	1878.377	59.956
-537.561	1674.375	55.144	-538.260	1878.387	59.897
-537.603	1674.395	55.142	-538.307	1878.392	59.739
-537.650	1674.385	55.073	-538.367	1878.410	59.655
-537.674	1674.372	55.012	-538.432	1878.453	59.568
-537.746	1674.397	54.947	-538.392	1878.340	59.732
-537.762	1674.404	54.930	-538.450	1878.382	59.689
-537.827	1674.411	54.869	-538.509	1878.414	59.606
-537.846	1674.393	54.859	-538.544	1878.438	59.553
-537.843	1674.383	54.850	-538.578	1878.475	59.567
-537.870	1674.400	54.843	-538.580	1878.495	59.506
-537.841	1674.410	54.895	-538.593	1878.529	59.511
-537.832	1674.403	54.896	-538.660	1878.525	59.484
-537.848	1674.404	54.946	-538.641	1878.544	59.448
-537.829	1674.415	54.926	-538.670	1878.538	59.407
-537.828	1674.435	54.937	-538.711	1878.566	59.391
-537.865	1674.455	54.910	-538.741	1878.557	59.345
-537.844	1674.474	54.866	-538.761	1878.576	59.329
-537.883	1674.472	54.834	-538.793	1878.595	59.275
-537.910	1674.453	54.795	-538.847	1878.645	59.268
-537.912	1674.465	54.783	-538.892	1878.640	59.230
-537.927	1674.443	54.764	-538.889	1878.643	59.179
-537.957	1674.433	54.784	-538.889	1878.634	59.179
-537.924	1674.440	54.736	-538.931	1878.652	59.214
-537.935	1674.430	54.722	-538.897	1878.666	59.261
-537.912	1674.382	54.707	-538.847	1878.643	59.273
-537.920	1674.367	54.717	-538.800	1878.605	59.318
-537.912	1674.377	54.758	-538.782	1878.588	59.413
-537.871	1674.374	54.751	-538.695	1878.566	59.495
-538.388	1673.406	55.512	-538.588	1878.520	59.571
-538.107	1673.292	55.608	-538.533	1878.479	59.721
-537.893	1673.258	55.665	-538.401	1878.453	59.797
-537.833	1673.245	55.757	-538.387	1878.576	59.779
-537.735	1673.258	55.866	-538.279	1878.527	59.967
-537.661	1673.228	55.931	-538.093	1878.494	60.159
-537.620	1673.254	56.010	-537.949	1878.455	60.224
-537.613	1673.253	56.028	-537.784	1878.249	60.471
-537.574	1673.258	56.029	-537.515	1877.720	61.090
-537.596	1673.279	56.028	-537.116	1877.559	62.726
-537.573	1673.286	55.993	-536.207	1877.411	65.307
-537.556	1673.289	55.937	-535.059	1877.160	68.345
-537.567	1673.274	55.953	-533.881	1876.828	72.209
-537.572	1673.281	55.931	-532.081	1876.377	77.033
-537.571	1673.272	55.865	-529.907	1875.605	82.256
-537.620	1673.283	55.851	-527.441	1874.298	87.672
-537.622	1673.264	55.798	-524.474	1872.579	93.731
-537.603	1673.272	55.785	-520.962	1870.167	99.965
-537.639	1673.286	55.753	-516.247	1867.192	106.039
-537.640	1673.288	55.728	-510.863	1863.673	111.449
-537.675	1673.272	55.730	-504.473	1860.168	115.604
-537.686	1673.266	55.716	-497.668	1857.375	118.730
-537.710	1673.250	55.710	-489.838	1855.120	120.642
-537.718	1673.253	55.673	-481.283	1853.010	121.923
-537.750	1673.254	55.649	-471.685	1851.219	122.648
-537.758	1673.259	55.639	-461.249	1849.621	122.576
-537.762	1673.247	55.610	-449.024	1848.108	121.590
-537.787	1673.257	55.603	-436.604	1846.958	119.451
-537.808	1673.269	55.601	-423.917	1846.290	117.068
-537.821	1673.264	55.540	-410.373	1846.036	114.098
-537.826	1673.285	55.532	-395.972	1846.268	110.503
-537.886	1673.296	55.489	-381.436	1847.057	106.278
-537.885	1673.324	55.500	-365.772	1848.016	101.758
-537.896	1673.311	55.481	-350.354	1849.882	97.568
-537.885	1673.324	55.474	-333.603	1851.749	92.819
-537.846	1673.325	55.534	-316.489	1853.776	88.096
-537.839	1673.318	55.566	-298.768	1856.222	83.477
-537.836	1673.318	55.601	-280.733	1859.047	79.335
-537.776	1673.323	55.694	-262.305	1861.781	75.368
-537.744	1673.326	55.754	-244.042	1864.979	72.017
-537.676	1673.317	55.853	-225.673	1868.367	69.086
-537.621	1673.310	55.948	-207.208	1871.825	66.682
-537.616	1673.322	56.049	-188.881	1875.329	64.778
-537.554	1673.309	56.172	-170.718	1878.713	63.106
-537.491	1673.307	56.256	-152.623	1881.999	61.366
-537.399	1673.325	56.394	-134.766	1885.154	59.454
