0.934603175	0	0
1.584761905	92.2852	92.2852BPM
2.234920635	92.2852	92.2852BPM
2.885079365	92.2852	92.2852BPM
3.535238095	92.2852	92.2852BPM
4.185396825	92.2852	92.2852BPM
4.835555556	92.2852	92.2852BPM
5.485714286	92.2852	92.2852BPM
6.112653061	95.7031	95.7031BPM
6.751201814	93.9631	93.9631BPM
7.389750567	93.9631	93.9631BPM
8.051519274	90.6661	90.6661BPM
8.701678005	92.2852	92.2852BPM
9.351836735	92.2852	92.2852BPM
10.001995465	92.2852	92.2852BPM
10.652154195	92.2852	92.2852BPM
11.302312925	92.2852	92.2852BPM
11.952471655	92.2852	92.2852BPM
12.602630385	92.2852	92.2852BPM
13.252789116	92.2852	92.2852BPM
13.902947846	92.2852	92.2852BPM
14.553106576	92.2852	92.2852BPM
15.203265306	92.2852	92.2852BPM
15.853424036	92.2852	92.2852BPM
16.503582766	92.2852	92.2852BPM
17.153741497	92.2852	92.2852BPM
17.803900227	92.2852	92.2852BPM
18.454058957	92.2852	92.2852BPM
19.080997732	95.7031	95.7031BPM
19.719546485	93.9631	93.9631BPM
20.358095238	93.9631	93.9631BPM
21.019863946	90.6661	90.6661BPM
