0.818503401	0	0
1.503492063	87.5927	87.5927BPM
2.188480726	87.5927	87.5927BPM
2.873469388	87.5927	87.5927BPM
3.558458050	87.5927	87.5927BPM
4.220226757	90.6661	90.6661BPM
4.893605442	89.1029	89.1029BPM
5.566984127	89.1029	89.1029BPM
6.263582766	86.1328	86.1328BPM
6.948571429	87.5927	87.5927BPM
7.633560091	87.5927	87.5927BPM
8.318548753	87.5927	87.5927BPM
8.980317460	90.6661	90.6661BPM
9.653696145	89.1029	89.1029BPM
10.327074830	89.1029	89.1029BPM
10.977233560	92.2852	92.2852BPM
11.627392290	92.2852	92.2852BPM
12.312380952	87.5927	87.5927BPM
13.008979592	86.1328	86.1328BPM
13.693968254	87.5927	87.5927BPM
14.378956916	87.5927	87.5927BPM
15.063945578	87.5927	87.5927BPM
15.725714286	90.6661	90.6661BPM
16.375873016	92.2852	92.2852BPM
17.037641723	90.6661	90.6661BPM
17.722630385	87.5927	87.5927BPM
18.396009070	89.1029	89.1029BPM
19.069387755	89.1029	89.1029BPM
19.742766440	89.1029	89.1029BPM
20.416145125	89.1029	89.1029BPM
